value,name,x,y,'hc-a2',region
2,10100,1,1,10100,Bangkok
62,10110,1,2,10110,Bangkok
83,10120,1,3,10120,Bangkok
10,10130,1,4,10130,Bangkok
4,10140,1,5,10140,Bangkok
10,10150,1,6,10150,Bangkok
6,10160,1,7,10160,Bangkok
2,10170,1,8,10170,Bangkok
8,10210,1,9,10210,Bangkok
4,10220,1,10,10220,Bangkok
16,10230,1,11,10230,Bangkok
18,10240,2,1,10240,Bangkok
27,10250,2,2,10250,Bangkok
28,10260,2,3,10260,Bangkok
7,10270,2,4,10270,Bangkok
14,10280,2,5,10280,Bangkok
4,10290,2,6,10290,Bangkok
5,10300,2,7,10300,Bangkok
64,10310,2,8,10310,Bangkok
14,10320,2,9,10320,Bangkok
48,10330,2,10,10330,Bangkok
41,10400,2,11,10400,Bangkok
33,10500,3,1,10500,Bangkok
8,10510,3,2,10510,Bangkok
4,10520,3,3,10520,Bangkok
14,10540,3,4,10540,Bangkok
2,10560,3,5,10560,Bangkok
1,10570,3,6,10570,Bangkok
5,10600,3,7,10600,Bangkok
7,10700,3,8,10700,Bangkok
4,10800,3,9,10800,Bangkok
48,10900,3,10,10900,Bangkok
5,11000,3,11,11000,Nonthaburi
2,11110,4,1,11110,Nonthaburi
20,11120,4,2,11120,Nonthaburi
1,11130,4,3,11130,Nonthaburi
1,11140,4,4,11140,Nonthaburi
8,12000,4,5,12000,Pathumthani
4,12120,4,6,12120,Pathumthani
5,12130,4,7,12130,Pathumthani
4,12150,4,8,12150,Pathumthani
1,12160,4,9,12160,Pathumthani
1,13000,4,10,13000,Ayutthaya
2,13160,4,11,13160,Ayutthaya
1,13170,5,1,13170,Ayutthaya
1,13210,5,2,13210,Ayutthaya
1,13290,5,3,13290,Ayutthaya
1,17130,5,4,17130,Chainat
1,18000,5,5,18000,Saraburi
3,20000,5,6,20000,Chonburi
1,20110,5,7,20110,Chonburi
4,20160,5,8,20160,Chonburi
2,20220,5,9,20220,Chonburi
5,20230,5,10,20230,Chonburi
2,21110,5,11,21110,Rayong
1,21120,6,1,21120,Rayong
5,21150,6,2,21150,Rayong
1,21180,6,3,21180,Rayong
1,24000,6,4,24000,Chachoengsao
1,24130,6,5,24130,Chachoengsao
1,25000,6,6,25000,Prachinburi
1,25140,6,7,25140,Prachinburi
1,31190,6,8,31190,Buriram
3,40000,6,9,40000,KhonKaen
1,41000,6,10,41000,KhonKaen
1,45000,6,11,45000,KhonKaen
1,50100,7,1,50100,Chiangmai
1,50120,7,2,50120,Chiangmai
1,50200,7,3,50200,Chiangmai
0,51000,7,4,51000,Lamphun
1,52170,7,5,52170,Lampang
1,57100,7,6,57100,Chiangrai
2,73120,7,7,73120,Nakhonpathom
4,73210,7,8,73210,Nakhonpathom
1,73220,7,9,73220,Nakhonpathom
6,74000,7,10,74000,Samutsakhon
0,74110,7,11,74110,Samutsakhon
2,74130,8,1,74130,Samutsakhon
2,74130,8,2,74130,Samutsakhon
1,81110,8,3,81110,Krabi
1,84000,8,4,84000,Suratthani
1,84220,8,5,84220,Suratthani
1,86000,8,6,86000,Chumphon
3,90110,8,7,90110,Songkhla
1,90310,8,8,90310,Songkhla
1,92000,8,9,92000,Trang
2,Other,8,10,Other,Other
